snapshot,node,current_strength,capacity_pressure,interruption_fraction,confidence,spatial_bonus,flow,capacity,utilization,split,disruption_flag,imputation_method
2,2,1.4427,1.0,0.0,1.0,0.43,213.2195,165.0,1.2922,train,0,observed
2,3,1.6458,1.0,0.0,1.0,0.5157,257.7776,175.9214,1.4653,train,0,observed
2,4,1.4949,1.0,0.0,1.0,0.4997,225.5365,170.8547,1.32,train,0,observed
2,5,1.2284,0.7788,0.0,1.0,0.4513,178.5399,166.79,1.0704,train,0,observed
2,6,1.4158,1.0,0.0,1.0,0.4506,209.7572,166.7266,1.2581,train,0,observed
2,7,1.9462,1.0,0.0,1.0,0.6239,319.6546,185.0068,1.6,train,0,observed
2,8,1.4752,1.0,0.0,1.0,0.5492,229.3104,178.7287,1.283,train,0,observed
2,9,1.4828,1.0,0.0,1.0,0.4583,221.3301,167.3763,1.3224,train,0,observed
2,10,1.5704,1.0,0.0,1.0,0.5864,243.1949,178.1393,1.3652,train,0,observed
2,11,1.5152,1.0,0.0,1.0,0.4841,228.1691,169.5477,1.3458,train,0,observed
2,12,1.2875,0.9371,0.0,1.0,0.4167,182.8524,160.16,1.1417,train,0,observed
2,13,1.726,1.0,0.0,1.0,0.6914,282.9696,190.6759,1.484,train,0,observed
2,14,1.2993,0.9122,0.0,1.0,0.4823,191.4979,169.3956,1.1305,train,0,observed
2,15,1.3395,1.0,0.0,1.0,0.4062,190.7051,159.2819,1.1973,train,0,observed
2,16,1.7144,1.0,0.0,1.0,0.5635,267.3539,176.2151,1.5172,train,0,observed
2,17,1.7932,1.0,0.0,0.6,0.5369,285.2539,177.6976,1.6,train,0,neighbor_mean
2,18,1.6181,1.0,0.0,1.0,0.4642,244.358,167.8692,1.4556,train,0,observed
2,19,1.3196,0.9352,0.1875,1.0,0.5108,195.986,171.7891,1.1409,train,0,observed
2,20,1.34,1.0,0.0,1.0,0.43,196.27,165.0,1.1895,train,0,observed
2,21,1.3841,1.0,0.0,1.0,0.43,203.5489,165.0,1.2336,train,0,observed
2,22,1.2941,0.9337,0.0,1.0,0.4398,189.0652,165.8227,1.1402,train,0,observed
2,23,1.3553,1.0,0.0,1.0,0.36,191.0339,155.4,1.2293,train,0,observed
3,0,0.9707,0.3315,0.2672,1.0,0.29,126.7246,145.8,0.8692,train,0,observed
3,1,1.4413,1.0,0.0,1.0,0.4517,214.0662,166.8218,1.2832,train,0,observed
3,2,1.4798,1.0,0.0,1.0,0.43,219.3404,165.0,1.3293,train,0,observed
3,3,1.6586,1.0,0.0,1.0,0.5157,260.0243,175.9214,1.4781,train,0,observed
3,4,1.5083,1.0,0.0,1.0,0.4997,227.8165,170.8547,1.3334,train,0,observed
3,5,1.1381,0.5781,0.0,1.0,0.4513,163.4793,166.79,0.9802,train,0,observed
3,6,1.4557,1.0,0.0,1.0,0.4506,216.4152,166.7266,1.298,train,0,observed
3,7,1.9951,1.0,0.0,1.0,0.6239,328.7131,185.0068,1.6,train,0,observed
3,8,1.5746,1.0,0.0,0.3,0.5492,247.0806,178.7287,1.3824,train,0,static_fallback
3,9,1.4885,1.0,0.0,1.0,0.4583,222.2986,167.3763,1.3281,train,0,observed
3,10,1.454,1.0,0.0,1.0,0.5864,222.4558,178.1393,1.2488,train,0,observed
3,11,1.5793,1.0,0.0,1.0,0.4841,239.0344,169.5477,1.4098,train,0,observed
3,12,1.2819,0.9246,0.0,1.0,0.4167,181.9556,160.16,1.1361,train,0,observed
3,13,1.5379,1.0,0.0,1.0,0.6914,247.0972,190.6759,1.2959,train,0,observed
3,14,1.3565,1.0,0.0,1.0,0.4823,201.1872,169.3956,1.1877,train,0,observed
3,15,1.2139,0.7816,0.0,1.0,0.4062,170.707,159.2819,1.0717,train,0,observed
3,16,1.5864,1.0,0.0,1.0,0.5635,244.7919,176.2151,1.3892,train,0,observed
3,17,1.7003,1.0,0.0,1.0,0.5369,268.7431,177.6976,1.5124,train,0,observed
3,18,1.6843,1.0,0.0,1.0,0.4642,255.4728,167.8692,1.5219,train,0,observed
3,19,1.3215,0.9394,0.0,1.0,0.5108,196.3121,171.7891,1.1428,train,0,observed
3,20,1.3663,1.0,0.0,1.0,0.43,200.6097,165.0,1.2158,train,0,observed
3,21,1.5206,1.0,0.0,1.0,0.43,226.0744,165.0,1.3701,train,0,observed
3,22,1.4373,1.0,0.0,1.0,0.4398,212.8161,165.8227,1.2834,train,0,observed
3,23,1.3247,1.0,0.0,1.0,0.36,186.2773,155.4,1.1987,train,0,observed
4,0,0.8799,0.1297,0.0,1.0,0.29,113.4843,145.8,0.7784,train,0,observed
4,1,1.3829,1.0,0.0,1.0,0.4517,204.3225,166.8218,1.2248,train,0,observed
4,2,1.4073,1.0,0.0,1.0,0.43,207.3676,165.0,1.2568,train,0,observed
4,3,1.6614,1.0,0.0,1.0,0.5157,260.5131,175.9214,1.4808,train,0,observed
4,4,1.5502,1.0,0.0,1.0,0.4997,234.9692,170.8547,1.3753,train,0,observed
4,5,1.0283,0.3341,0.2065,1.0,0.4513,145.163,166.79,0.8703,train,0,observed
4,6,1.3361,1.0,0.0,1.0,0.4506,196.4651,166.7266,1.1784,train,0,observed
4,7,1.9325,1.0,0.0,1.0,0.6239,317.1276,185.0068,1.6,train,0,observed
4,8,1.4865,1.0,0.0,1.0,0.5492,231.3341,178.7287,1.2943,train,0,observed
4,9,1.3166,0.9694,0.0,1.0,0.4583,193.5228,167.3763,1.1562,train,0,observed
4,10,1.5301,1.0,0.0,1.0,0.5864,236.0059,178.1393,1.3248,train,0,observed
4,11,1.5598,1.0,0.0,1.0,0.4841,235.7282,169.5477,1.3903,train,0,observed
4,12,1.2924,0.9479,0.0,1.0,0.4167,183.6341,160.16,1.1466,train,0,observed
4,13,1.512,1.0,0.0,1.0,0.6914,242.1651,190.6759,1.27,train,0,observed
4,14,1.4194,1.0,0.0,1.0,0.4823,211.8385,169.3956,1.2506,train,0,observed
4,15,1.175,0.6951,0.0,1.0,0.4062,164.5047,159.2819,1.0328,train,0,observed
4,16,1.6367,1.0,0.0,1.0,0.5635,253.6515,176.2151,1.4394,train,0,observed
4,17,1.5658,1.0,0.0,1.0,0.5369,244.8445,177.6976,1.3779,train,0,observed
4,18,1.5323,1.0,0.0,1.0,0.4642,229.9553,167.8692,1.3698,train,0,observed
4,19,1.333,0.9649,0.0,1.0,0.5108,198.2764,171.7891,1.1542,train,0,observed
4,20,1.2739,0.8963,0.0,1.0,0.43,185.3534,165.0,1.1234,train,0,observed
4,21,1.5106,1.0,0.0,1.0,0.43,224.4213,165.0,1.3601,train,0,observed
4,22,1.4119,1.0,0.0,1.0,0.4398,208.5994,165.8227,1.258,train,0,observed
4,23,1.1979,0.7819,0.0,1.0,0.36,166.5677,155.4,1.0719,train,0,observed
5,0,0.7802,0.0,0.0,1.0,0.29,98.9472,145.8,0.6787,train,1,observed
5,1,1.3722,1.0,0.0,0.3,0.4517,202.546,166.8218,1.2141,train,1,static_fallback
5,2,1.3946,1.0,0.0,1.0,0.43,205.2775,165.0,1.2441,train,1,observed
5,3,1.5113,1.0,0.0,1.0,0.5157,234.1086,175.9214,1.3308,train,1,observed
5,4,1.3616,1.0,0.0,1.0,0.4997,202.7485,170.8547,1.1867,train,1,observed
5,5,0.821,0.0,0.0,0.6,0.4513,110.594,166.79,0.6631,train,1,neighbor_mean
5,6,1.2447,0.8157,0.1894,1.0,0.4506,181.2396,166.7266,1.087,train,1,observed
5,7,1.5338,1.0,0.0,1.0,0.6239,243.3619,185.0068,1.3154,train,1,observed
5,8,1.3413,0.9536,0.1493,1.0,0.5492,205.3768,178.7287,1.1491,train,1,observed
5,9,1.2275,0.7714,0.0,1.0,0.4583,178.6129,167.3763,1.0671,train,1,observed
5,10,1.2031,0.6175,0.0,1.0,0.5864,177.7578,178.1393,0.9979,train,1,observed
5,11,1.2161,0.7258,0.0,1.0,0.4841,177.4529,169.5477,1.0466,train,1,observed
5,12,1.142,0.6137,0.0,1.0,0.4167,159.5453,160.16,0.9962,train,1,observed
5,13,1.1627,0.4461,0.0,1.0,0.6914,175.5614,190.6759,0.9207,train,1,observed
5,14,1.2119,0.718,0.0,1.0,0.4823,176.6964,169.3956,1.0431,train,1,observed
5,15,0.9953,0.2958,0.0,1.0,0.4062,135.885,159.2819,0.8531,train,1,observed
5,16,1.293,0.8349,0.0,1.0,0.5635,193.0833,176.2151,1.0957,train,1,observed
5,17,1.2138,0.6798,0.3418,1.0,0.5369,182.3003,177.6976,1.0259,train,1,observed
5,18,1.4201,1.0,0.3217,0.6,0.4642,211.1159,167.8692,1.2576,train,1,neighbor_mean
5,19,1.1693,0.6012,0.0,1.0,0.5108,170.1669,171.7891,0.9906,train,1,observed
5,20,1.2487,0.8404,0.3255,1.0,0.43,181.1979,165.0,1.0982,train,1,observed
5,21,1.4933,1.0,0.2206,1.0,0.43,221.5651,165.0,1.3428,train,1,observed
5,22,1.2651,0.8692,0.0,1.0,0.4398,184.2556,165.8227,1.1112,train,1,observed
5,23,0.9503,0.2318,0.0,1.0,0.36,128.0947,155.4,0.8243,train,1,observed
6,0,0.766,0.0,0.0,1.0,0.29,96.8786,145.8,0.6645,train,1,observed
6,1,1.2178,0.755,0.0,1.0,0.4517,176.7908,166.8218,1.0598,train,1,observed
6,2,1.2947,0.9427,0.0,1.0,0.43,188.792,165.0,1.1442,train,1,observed
6,3,1.4898,1.0,0.0,1.0,0.5157,230.3318,175.9214,1.3093,train,1,observed
6,4,1.3437,0.9973,0.2591,1.0,0.4997,199.6951,170.8547,1.1688,train,1,observed
6,5,0.9901,0.2491,0.0,1.0,0.4513,138.7857,166.79,0.8321,train,1,observed
6,6,1.2075,0.733,0.1713,1.0,0.4506,175.0342,166.7266,1.0498,train,1,observed
6,7,1.3873,0.9976,0.0,1.0,0.6239,216.2596,185.0068,1.1689,train,1,observed
6,8,1.2723,0.8002,0.0,1.0,0.5492,193.0395,178.7287,1.0801,train,1,observed
6,9,1.1423,0.582,0.262,0.3,0.4583,164.3452,167.3763,0.9819,train,1,static_fallback
6,10,1.1206,0.4341,0.0,1.0,0.5864,163.0569,178.1393,0.9153,train,1,observed
6,11,1.2322,0.7616,0.0,1.0,0.4841,180.1833,169.5477,1.0627,train,1,observed
6,12,1.074,0.4625,0.0,1.0,0.4167,148.6508,160.16,0.9281,train,1,observed
6,13,1.0652,0.2293,0.0,1.0,0.6914,156.9635,190.6759,0.8232,train,1,observed
6,14,1.2471,0.7962,0.2064,1.0,0.4823,182.6577,169.3956,1.0783,train,1,observed
6,15,0.99,0.284,0.0,1.0,0.4062,135.0392,159.2819,0.8478,train,1,observed
6,16,1.293,0.835,0.0,0.6,0.5635,193.084,176.2151,1.0957,train,1,neighbor_mean
6,17,1.2279,0.7111,0.0,0.6,0.5369,184.8044,177.6976,1.04,train,1,neighbor_mean
6,18,1.4124,1.0,0.0,0.6,0.4642,209.8339,167.8692,1.25,train,1,neighbor_mean
6,19,1.1679,0.598,0.0,1.0,0.5108,169.9193,171.7891,0.9891,train,1,observed
6,20,1.315,0.9877,0.0,1.0,0.43,192.1388,165.0,1.1645,train,1,observed
6,21,1.4554,1.0,0.1235,1.0,0.43,215.3027,165.0,1.3049,train,1,observed
6,22,1.2665,0.8724,0.0,1.0,0.4398,184.4902,165.8227,1.1126,train,1,observed
6,23,0.9862,0.3115,0.1454,0.6,0.36,133.6712,155.4,0.8602,train,1,neighbor_mean
7,0,0.7746,0.0,0.0,1.0,0.29,98.1308,145.8,0.6731,train,1,observed
7,1,1.2144,0.7474,0.0,1.0,0.4517,176.2219,166.8218,1.0563,train,1,observed
7,2,1.2826,0.9157,0.0,0.3,0.43,186.792,165.0,1.1321,train,1,static_fallback
7,3,1.5546,1.0,0.0,1.0,0.5157,241.7288,175.9214,1.3741,train,1,observed
7,4,1.342,0.9935,0.0,1.0,0.4997,199.397,170.8547,1.1671,train,1,observed
7,5,1.0856,0.4614,0.0,1.0,0.4513,154.722,166.79,0.9276,train,1,observed
7,6,1.1246,0.5488,0.1828,1.0,0.4506,161.2158,166.7266,0.9669,train,1,observed
7,7,1.4359,1.0,0.0,1.0,0.6239,225.2509,185.0068,1.2175,train,1,observed
7,8,1.4302,1.0,0.0,1.0,0.5492,221.2633,178.7287,1.238,train,1,observed
7,9,1.2077,0.7274,0.0,1.0,0.4583,175.2945,167.3763,1.0473,train,1,observed
7,10,1.157,0.5151,0.0,1.0,0.5864,169.5491,178.1393,0.9518,train,1,observed
7,11,1.2384,0.7754,0.0638,1.0,0.4841,181.2349,169.5477,1.0689,train,1,observed
7,12,1.2016,0.7462,0.0,0.6,0.4167,169.0926,160.16,1.0558,train,1,neighbor_mean
7,13,1.0597,0.2171,0.0,1.0,0.6914,155.9163,190.6759,0.8177,train,1,observed
7,14,1.2318,0.7623,0.0,1.0,0.4823,180.0705,169.3956,1.063,train,1,observed
7,15,1.039,0.3931,0.0955,1.0,0.4062,142.8559,159.2819,0.8969,train,1,observed
7,16,1.3297,0.9167,0.0,1.0,0.5635,199.5643,176.2151,1.1325,train,1,observed
7,17,1.2136,0.6793,0.0,1.0,0.5369,182.2627,177.6976,1.0257,train,1,observed
7,18,1.3959,1.0,0.0,1.0,0.4642,207.0653,167.8692,1.2335,train,1,observed
7,19,1.1575,0.575,0.2595,1.0,0.5108,168.1399,171.7891,0.9788,train,1,observed
7,20,1.3,0.9545,0.0,1.0,0.43,189.6702,165.0,1.1495,train,1,observed
7,21,1.3964,1.0,0.0,0.6,0.43,205.5709,165.0,1.2459,train,1,neighbor_mean
7,22,1.1683,0.6541,0.0,0.6,0.4398,168.1985,165.8227,1.0143,train,1,neighbor_mean
7,23,0.9971,0.3358,0.212,1.0,0.36,135.3694,155.4,0.8711,train,1,observed
8,0,0.856,0.0766,0.0,1.0,0.29,110.0046,145.8,0.7545,train,0,observed
8,1,1.2682,0.8669,0.0,1.0,0.4517,185.1867,166.8218,1.1101,train,0,observed
8,2,1.3137,0.9849,0.0,1.0,0.43,191.9325,165.0,1.1632,train,0,observed
8,3,1.7229,1.0,0.0,1.0,0.5157,271.3335,175.9214,1.5424,train,0,observed
8,4,1.5107,1.0,0.0,1.0,0.4997,228.2216,170.8547,1.3358,train,0,observed
8,5,1.2675,0.8657,0.0,1.0,0.4513,185.0646,166.79,1.1096,train,0,observed
8,6,1.3272,0.999,0.0,1.0,0.4506,194.994,166.7266,1.1695,train,0,observed
8,7,1.7329,1.0,0.0,1.0,0.6239,280.1948,185.0068,1.5145,train,0,observed
8,8,1.7504,1.0,0.0,1.0,0.5492,278.4903,178.7287,1.5582,train,0,observed
8,9,1.2492,0.8197,0.0,1.0,0.4583,182.2474,167.3763,1.0888,train,0,observed
8,10,1.4935,1.0,0.0,0.6,0.5864,229.4888,178.1393,1.2883,train,0,neighbor_mean
8,11,1.35,1.0,0.0,1.0,0.4841,200.1648,169.5477,1.1806,train,0,observed
8,12,1.4714,1.0,0.0,1.0,0.4167,212.2995,160.16,1.3255,train,0,observed
8,13,1.5251,1.0,0.0,1.0,0.6914,244.6535,190.6759,1.2831,train,0,observed
8,14,1.2108,0.7154,0.0,1.0,0.4823,176.4999,169.3956,1.0419,train,0,observed
8,15,1.0819,0.4883,0.0,1.0,0.4062,149.6852,159.2819,0.9398,train,0,observed
8,16,1.6269,1.0,0.0,1.0,0.5635,251.9382,176.2151,1.4297,train,0,observed
8,17,1.4161,1.0,0.0,1.0,0.5369,218.2486,177.6976,1.2282,train,0,observed
8,18,1.5533,1.0,0.0,1.0,0.4642,233.4846,167.8692,1.3909,train,0,observed
8,19,1.3267,0.9509,0.0,1.0,0.5108,197.1971,171.7891,1.1479,train,0,observed
8,20,1.3996,1.0,0.0,1.0,0.43,206.1058,165.0,1.2491,train,0,observed
8,21,1.5006,1.0,0.0,1.0,0.43,222.7682,165.0,1.3501,train,0,observed
8,22,1.2518,0.8396,0.1403,1.0,0.4398,182.0451,165.8227,1.0978,train,0,observed
8,23,1.1551,0.6869,0.0984,1.0,0.36,159.9203,155.4,1.0291,train,0,observed
9,0,0.7096,0.0,0.0,1.0,0.29,88.6608,145.8,0.6081,train,0,observed
9,1,1.1569,0.6195,0.0,1.0,0.4517,166.6168,166.8218,0.9988,train,0,observed
9,2,1.1099,0.532,0.0,1.0,0.43,158.3032,165.0,0.9594,train,0,observed
9,3,1.5601,1.0,0.0,1.0,0.5157,242.7063,175.9214,1.3796,train,0,observed
9,4,1.5821,1.0,0.0,1.0,0.4997,240.4242,170.8547,1.4072,train,0,observed
9,5,1.157,0.62,0.0,1.0,0.4513,166.6262,166.79,0.999,train,0,observed
9,6,1.3424,1.0,0.0,1.0,0.4506,197.5157,166.7266,1.1847,train,0,observed
9,7,1.5671,1.0,0.0,1.0,0.6239,249.5277,185.0068,1.3487,train,0,observed
9,8,1.6936,1.0,0.0,1.0,0.5492,268.3426,178.7287,1.5014,train,0,observed
9,9,1.2029,0.7168,0.0,1.0,0.4583,174.4977,167.3763,1.0425,train,0,observed
9,10,1.4609,1.0,0.0,1.0,0.5864,223.6866,178.1393,1.2557,train,0,observed
9,11,1.3641,1.0,0.0,1.0,0.4841,202.5527,169.5477,1.1947,train,0,observed
9,12,1.5351,1.0,0.0,1.0,0.4167,222.5107,160.16,1.3893,train,0,observed
9,13,1.5415,1.0,0.0,1.0,0.6914,247.7781,190.6759,1.2995,train,0,observed
9,14,1.2138,0.7223,0.0,1.0,0.4823,177.0215,169.3956,1.045,train,0,observed
9,15,0.9944,0.2938,0.1616,1.0,0.4062,135.7447,159.2819,0.8522,train,0,observed
9,16,1.6152,1.0,0.0,1.0,0.5635,249.87,176.2151,1.418,train,0,observed
9,17,1.3723,1.0,0.0,1.0,0.5369,210.4726,177.6976,1.1844,train,0,observed
9,18,1.5461,1.0,0.0,1.0,0.4642,232.275,167.8692,1.3837,train,0,observed
9,19,1.3037,0.8997,0.0,1.0,0.5108,193.2411,171.7891,1.1249,train,0,observed
9,20,1.483,1.0,0.0,1.0,0.43,219.8555,165.0,1.3325,train,0,observed
9,21,1.2679,0.883,0.0,1.0,0.43,184.3649,165.0,1.1174,train,0,observed
9,22,1.2015,0.728,0.0,1.0,0.4398,173.7161,165.8227,1.0476,train,0,observed
9,23,1.1895,0.7633,0.0,1.0,0.36,165.2642,155.4,1.0635,train,0,observed
10,0,0.7154,0.0,0.0,1.0,0.29,89.5098,145.8,0.6139,val,0,observed
10,1,1.0545,0.392,0.0,1.0,0.4517,149.5405,166.8218,0.8964,val,0,observed
10,2,1.2274,0.793,0.0,1.0,0.43,177.6829,165.0,1.0769,val,0,observed
10,3,1.6468,1.0,0.0,1.0,0.5157,257.958,175.9214,1.4663,val,0,observed
10,4,1.3544,1.0,0.0,1.0,0.4997,201.5288,170.8547,1.1795,val,0,observed
10,5,1.133,0.5669,0.0,1.0,0.4513,162.6351,166.79,0.9751,val,0,observed
10,6,1.4614,1.0,0.0,1.0,0.4506,217.3661,166.7266,1.3037,val,0,observed
10,7,1.5617,1.0,0.0,1.0,0.6239,248.5228,185.0068,1.3433,val,0,observed
10,8,1.5988,1.0,0.0,1.0,0.5492,251.4078,178.7287,1.4066,val,0,observed
10,9,1.132,0.559,0.0,1.0,0.4583,162.617,167.3763,0.9716,val,0,observed
10,10,1.3538,0.9523,0.0,1.0,0.5864,204.5958,178.1393,1.1485,val,0,observed
10,11,1.2712,0.8484,0.0,1.0,0.4841,186.8011,169.5477,1.1018,val,0,observed
10,12,1.3609,1.0,0.0,1.0,0.4167,194.6066,160.16,1.2151,val,0,observed
10,13,1.557,1.0,0.0,1.0,0.6914,250.7343,190.6759,1.315,val,0,observed
10,14,1.1326,0.5418,0.0,1.0,0.4823,163.2622,169.3956,0.9638,val,0,observed
10,15,0.9233,0.1358,0.0,1.0,0.4062,124.4134,159.2819,0.7811,val,0,observed
10,16,1.4208,1.0,0.0,1.0,0.5635,215.6115,176.2151,1.2236,val,0,observed
10,17,1.3102,0.8941,0.0,1.0,0.5369,199.4351,177.6976,1.1223,val,0,observed
10,18,1.3602,1.0,0.0,1.0,0.4642,201.06,167.8692,1.1977,val,0,observed
10,19,1.2319,0.7402,0.0,1.0,0.5108,180.9072,171.7891,1.0531,val,0,observed
10,20,1.4534,1.0,0.0,1.0,0.43,214.9812,165.0,1.3029,val,0,observed
10,21,1.223,0.7833,0.0,1.0,0.43,176.9571,165.0,1.0725,val,0,observed
10,22,1.1825,0.6857,0.0,1.0,0.4398,170.5604,165.8227,1.0286,val,0,observed
10,23,1.1337,0.6393,0.0,1.0,0.36,156.5956,155.4,1.0077,val,0,observed
11,0,0.5289,0.0,0.0,1.0,0.29,62.32,145.8,0.4274,val,0,observed
11,1,0.9188,0.0905,0.0,1.0,0.4517,126.9037,166.8218,0.7607,val,0,observed
11,2,1.1713,0.6685,0.0,1.0,0.43,168.4355,165.0,1.0208,val,0,observed
11,3,1.5048,1.0,0.0,1.0,0.5157,232.9646,175.9214,1.3243,val,0,observed
11,4,1.1714,0.6145,0.0,1.0,0.4997,170.2636,170.8547,0.9965,val,0,observed
11,5,1.0274,0.332,0.0,1.0,0.4513,145.0109,166.79,0.8694,val,0,observed
11,6,1.3288,1.0,0.0,1.0,0.4506,195.2494,166.7266,1.1711,val,0,observed
11,7,1.5027,1.0,0.0,1.0,0.6239,237.6163,185.0068,1.2844,val,0,observed
11,8,1.4239,1.0,0.0,1.0,0.5492,220.1423,178.7287,1.2317,val,0,observed
11,9,1.0383,0.3509,0.0,1.0,0.4583,146.9378,167.3763,0.8779,val,0,observed
11,10,1.1316,0.4586,0.0,1.0,0.5864,165.0244,178.1393,0.9264,val,0,observed
11,11,1.0878,0.4409,0.0,0.3,0.4841,155.711,169.5477,0.9184,val,0,static_fallback
11,12,1.3594,1.0,0.0,1.0,0.4167,194.371,160.16,1.2136,val,0,observed
11,13,1.3029,0.7577,0.0,1.0,0.6914,202.3005,190.6759,1.061,val,0,observed
11,14,1.0388,0.3332,0.0,1.0,0.4823,147.3632,169.3956,0.8699,val,0,observed
11,15,0.8857,0.0522,0.2013,1.0,0.4062,118.4265,159.2819,0.7435,val,0,observed
11,16,1.2955,0.8407,0.0,1.0,0.5635,193.5363,176.2151,1.0983,val,0,observed
11,17,1.1665,0.5747,0.121,1.0,0.5369,173.9001,177.6976,0.9786,val,0,observed
11,18,1.2423,0.7996,0.0,1.0,0.4642,181.2657,167.8692,1.0798,val,0,observed
11,19,1.155,0.5693,0.0,1.0,0.5108,167.6983,171.7891,0.9762,val,0,observed
11,20,1.3072,0.9704,0.0,1.0,0.43,190.8551,165.0,1.1567,val,0,observed
11,21,0.9746,0.2313,0.0,1.0,0.43,135.9735,165.0,0.8241,val,0,observed
11,22,1.0826,0.4638,0.0,1.0,0.4398,154.002,165.8227,0.9287,val,0,observed
11,23,0.959,0.2511,0.0,1.0,0.36,129.4444,155.4,0.833,val,0,observed
12,0,0.5606,0.0,0.0,1.0,0.29,66.9379,145.8,0.4591,val,0,observed
